Talents,Description,Prerequisite
Revelation,"Overcome effects of fear, WP check to dispel psychic effects.","Pure Faith, Mental Calm"
Revolutionary,Re-roll influence test with like minded groups (Pg 118),
Righteous Frenzy,You and allies gain benefits of Frenzy Talent but won't attack each other.,"Pure Faith, Wrath of the Righteous, The Passion"
Rite of Awe,"50m radius, -10 to all fear tests",Mechanicus Implants
Rite of Fear,"Fear (1) for 2 mins, 50m radius",Mechanicus Implants
Rite of Protection,WP (+10) test to protect against upcoming memories,WP 40
Rite of pure thought,Immune to emotion,Mechanicus Implants
Rite of sanctioning,Reduces psychic phenomenon,"Psy rating, special"
Rival (Academics),-10 Fel versus group,
Rival (Adepta Sororitas),-10 Fel versus group,
Rival (Adeptus Arbites),-10 Fel versus group,
Rival (Adeptus Astartes),-10 Fel versus group,
Rival (Adeptus Mechanicus),-10 Fel versus group,
Rival (Administratum),-10 Fel versus group,
Rival (Astropaths),-10 Fel versus group,
Rival (Chartist Captains),-10 Fel versus group,
Rival (Cult (Specific)),-10 Fel versus chosen cult,
Rival (Death Cults),-10 Fel versus group,
Rival (Ecclesiarchy),-10 Fel versus group,
Rival (Enforcers),-10 Fel versus group,
Rival (Government),-10 Fel versus group,
Rival (Imperial Guard),-10 Fel versus group,
Rival (Imperial Navy),-10 Fel versus group,
Rival (Inquisition faction (Specific)),-10 Fel versus chosen faction,
Rival (Inquisition),-10 Fel versus group,
Rival (Inquisitor (Specific)),-10 Fel versus chosen inquisitor,
Rival (Middle Classes),-10 Fel versus group,
Rival (Military),-10 Fel versus group,
Rival (Navigators),-10 Fel versus group,
Rival (Nobilite (Specific)),-10 Fel versus chosen noble,
Rival (Nobility),-10 Fel versus group,
Rival (Officio Assassinorum),-10 Fel versus group,
Rival (Planet (Specific)),-10 Fel versus chosen planet,
Rival (Recidivist Organisation (Specific)),-10 Fel versus chosen organisation,
Rival (Rogue Trader),-10 Fel versus group,
Rival (Underworld),-10 Fel versus group,
Rival (Workers),-10 Fel versus group,
Runtz,Gain a greenskin slave/pet,Ork
Scourge of Heretics,Gain +10 WS and +2 damage vs. Heretics,
Seal of Purity,Stop Deamons and their psychic powers from passing within 10m of seal.,"Pure Faith, Divine Symbol"
Servo-harness Integration,Use pincer arms and weapon arrays as if they were extra limbs,Techmarine Implants
Shadow Lord,Subtle influence tests are at -10 (not -30),
Sharpshooter,No penalies for called shots,"BS 40, Deadeye shot"
Siegecraft,Prepare battle field (1d5 hours) and inprove AP of 1 peice of cover by INT bonus.,
Signature Wargear (specific),Gain item with requisition cost of 20 or less,
Signature Wargear Hero (specific),Gain item with requisition cost of 70 or less,
Signature Wargear Master (specific),Gain item with requisition cost of 40 or less,Signature Wargear (specific)
Slayer of Daemons,Gain +10 WS and +2 damage vs. Daemons,
Sleeper Agent,"Set up agent for 5 influence, use agent to pass influence test.",
Sorcerer,Gain 3xWP bonus arcana slots and an effective Psy Rating of 2,"Int 35, Willpower 35, Demonology/Warp +10"
Soul Decay,"Adversely affect creature with corruption points, daemons and psykers","Pure Faith, Burden of Guilt"
Soul of Stone,"Armour of Contempt, Fearless, Insanely Faithful, Jaded, Resistance (Fear), Unshakable Faith",WP 40
Soul Storm,Deal damage to Psykers/Corrupt and Daemons. Fall unconscious afterwards,"Pure Faith, Divine Touch, Flames of Faith"
Sound Constitution,Gain +1 wound,
Spirit of the Martyr,Add WP to Toughness to reduce impact or rending damage. Reduce critical damage by 1,"Pure Faith, Blessed Ignorance"
Spiritual Cleansing,Remover 1d5 Corruption gained the previous round if the target has less than 20 Corruption,"Pure Faith, Divine Endurance"
Spiritual Mirror,"When taking shock from fear effects, source creature must test WP or be affected","Pure Faith, Light of the Emperor"
Sprint,Move more quickly in combat,
Stalwart Defence,Full round action to spend fate point. May parry all attacks while stationary. Not outnumbered,Adeptus Astartes
Step aside,Extra Dodge each round,"Ag 40, Dodge"
Storm of Blows,"Ambidextrous, Two weapon (Melee), Dual Strike, Lightning Attack, Swift Attack","WS 35, Ag 40"
Storm of Iron,Double damage to Hordes when wielding Flamers or firing semi/full auto,Adeptus Astartes
Street fighting,Inflict +2 extra critical damage with a knife or unarmed attack,
Strong Minded,Re-roll failed WP tests to resist Psychic Techniques,"WP 30, Resistance (Pyschic)"
Sublime Arts,"Use sorcerer powers mentally, adds 2 to threshold.","Perception 40, Intelligence 45, Sorcerer"
Sure strike,Choose reverse of roll for location,WS 30
Survival Master,"Re-roll failed Survival, Tracking and Wrangling skill checks",Toughness 40
Survivor,Remove negative modifiers on chosen characteristic,
Swift Attack,Attack twice with full attack,WS 35
Takedown,Special attack to stun,
Talented,+10 to chosen skill check,
Target Selection,Shoot in Melee without penalty,BS 50
Technical Knock,Un-jam a gun as half action,Int 30
Tests of Faith,Activate Emperor's Wrath fate talent without spending fate point once per session,WP 30
The Ear of the Lord Sector,Influence at -20 to gain influence of 130 for 1 test.,
The Emperor Protects,Spend fate to inspire fearlessness and heroism,Pure Faith
The Flesh is Weak 1,Gain Machine trait and 1 armour point,Mechanicus Implants
The Flesh is Weak 2,Gain Machine trait and 2 armour points,The Flesh is Weak 1
The Flesh is Weak 3,Gain Machine trait and 3 armour points,The Flesh is Weak 2
The Flesh is Weak 4,Gain Machine trait and 4 armour points,The Flesh is Weak 3
The Flesh is Weak 5,Gain Machine trait and 5 armour points,The Flesh is Weak 4
The Passion,"You and allies gain unnatural Agility (x2), +10 dodge/parry and choose best of 2d10 for initiative.","Pure Faith, Divine Guidance"
The Reaping,As a full action attack everyone in range with Melee weapon until parried or dodged,"WS 40, Combat Master"
The Unforgiving Blade,"Blade bcomes Holy, does extra 1d10 damage and increases Pen by 2 vs warp/corrupt","Pure Faith, Wrath of the Righteous"
Thrown Training (Chain),Trained to use Chain Thrown weapons,
Thrown Training (Power),Trained to use Power Thrown weapons,
Thrown Training (Primitive),Trained to use Primitive Thrown weapons,
Thrown Training (Shock),Trained to use Shock Thrown weapons,
Thrown Weapon Expertise,Proficient with all (non exotic) thrown weapons,
Thrown Weapon Training (Universal),"Primitive, Chain, Shock, Power",
Thunder Charge,Gain extra unarmed attack on a charge (1d5+1 attacks vs. a Horde),Adeptus Astartes
Too 'Ard Ta Care,Gain +20 to toughness tests due to environment,"Ork, 'Ard, Toughness 50"
Total Recall,Remember trivial facts and details,Int 30
Transcendent Hate,"Hatred (all), Inspire Wrath, Litany of Hate",Fel 30
True Grit,Reduce critical damage,T 40
Two-Weapon Wielder (Ballistic),Attack twice with 2 weapons,"BS 35, Ag 35"
Two-Weapon Wielder (Melee),Attack twice with 2 weapons,"WS 35, Ag 35"
Unarmed Ascendant Mastery,"Disarm, Unarmed Master, Unarmed Warrior, Takedown, Street Fighting","WS 45, Ag 45"
Unarmed Master,Attack for 1d10+SB (not primitive),"WS 45, Ag 40, Unarmed Warrior"
Unarmed Warrior,Attack for 1d10-3+SB,"WS 35, Ag 35"
Unassailable Grace,"Deflect Shot, Hard Target, Step Aside","Ag 50, Dodge"
Unbowed and Unbroken,Succeed in Attack or Fel check to restore Cohesion lost in last round,"Adeptus Astartes, Fel 40"
Unnatural Agility x 2,Double Agility bonus and add 1 success when passing Ag skill tests,
Unnatural Agility x 3,Treble Agility bonus and add 2 successes when passing Ag skill tests,Unnatural Agility x 2
Unnatural Agility x 4,Quadruple Agility bonus and add 3 successes when passing Ag skill tests,Unnatural Agility x 3
Unnatural Intelligence x 2,Double Intelligence bonus and add 1 success when passing Int skill tests,
Unnatural Intelligence x 3,Treble Intelligence bonus and add 2 successes when passing Int skill tests,Unnatural Intelligence x 2
Unnatural Intelligence x 4,Quadruple Intelligence bonus and add 3 successes when passing Int skill tests,Unnatural Intelligence x 3
Unnatural Perception x 2,Double Perception bonus and add 1 success when passing Per skill tests,Per 45
Unnatural Perception x 3,Treble Perception bonus and add 2 success when passing Per skill tests,Per 45
Unnatural Speed x 2,Double Speed bonus - increasing move rates,
Unnatural Strength x 2,Double Strength bonus and add 1 success when passing Str skill tests,
Unnatural Toughness x 2,Double Toughness bonus and add 1 success when passing T skill tests,
Unnatural Willpower x 2,Double Willpower bonus and add 1 success when passing WP skill tests,
Unnatural Willpower x 3,Treble Willpower bonus and add 2 successes when passing WP skill tests,Unnatural Willpower x 2
Unremarkable,Easily forgettable,
Unshakable faith,Re-roll failed fear checks,
Visions of the Abyss,Reduce warp shock corruption results by 1,Personal Augury Power
Voice of the Masses,Re-roll failed influence tests  with non-Adeptus Terra organisations,
Voice of the Omnissiah,"Disturbing Voice, Feedback Screech, Mimic, Rite of Awe, Rite of Fear",Mechanicus Implants
Void tactician,Bonus to starship conbat,Int 35
WAAAGH!,Spend a reaction after a successful hit on a charge to make an additional attack,"Ork, Berserk Charge, Furious Assault, Weapon Skill 40"
Wall of Steel,Gain extra parry each round,Ag 35
Warmonger,Re-roll tests to acquire weapons/military forces. -20 to all other influence tests.,
Warp Affinity,Re-roll psychic phenomena,"Psy rating, special"
Warp Conduit,+1 to psy rating when pushing,"Psy rating, strong minded, WP 50"
Warp Sense,Allows Psyniscience test as half action,"Navigator or Psy rating, Psyniscience, Per 30"
Warped Psyker,Immune to Daemonic Presence. Other effects if also a Sorcerer,"Psy rating 2, Special"
Watched from on High,Gain +1 influence when influence is gained,
Watchful for betrayal,You cannot be surprised,"Awareness, Light sleeper, Paranoia, Perception 40"
Weapon-Tech,Once per combat increase Damage and Pen of certain wielded weapons by Int bonus,Techmarine
Web of Peers,Reputation may proceed you gaining +10 Fel with some NPCs,"Fel 45, Peer (Any)"
Whirlwind of Death,Double damage to Horde's magnitude,Adeptus Astartes
Whispers,Bonuses to investigations,"Int 40, Fel 30"
Wide Correspondence,Use subtle influence to gather information,
Wisdom of the Ancients,Spend Fate point to get GM hint,"Adeptus Astartes, Int 40"
Worky Gubbinz,"Ork weapons are reliable, kustomize to add +5 bonus","Ork, Tech-Use +10, Willpower 30"
Worthy of the Calixian Elite,Re-roll failed influence tests with Nobility. Gain enemies.,
Wrath of the Righteous,You and allies increase melee damage by 1d5 and invoke righteous fury on a 9 and 10,Pure Faith
